Employer,Address,Positions,Province,Latitude,Longitude
Aker Solutions AIM,"Box 20, 215 Water Street, Suite 511, St. John's, NL  A1C 6C9",2,Newfoundland and Labrador,47.5630158,-52.7084738
Ashland Farms Inc.,"21 Juniper Avenue, Cormack, NL  A8A 2M9",2,Newfoundland and Labrador,49.300178,-57.388307
Atlantic Grocery Distributors,"P.O. Box 807, 1 Hope Avenue,, Bay Roberts, NL  A0A 1G0",4,Newfoundland and Labrador,47.571957,-53.278126
Birdhouse Garden Market,"P.O. Box 1719, Stn B, Happy Valley - Goose Bay, NL  A0P 1E0",1,Newfoundland and Labrador,53.312758,-60.38015
Carol Automobile Ltd.,"P.O. Box 304, Labrador City, NL  A2V 2K6",2,Newfoundland and Labrador,52.939826,-66.90674
CBS Foods Ltd,"152 Conception Bay Highway, Conception Bay South, NL  A1W 3A6",2,Newfoundland and Labrador,47.5183451,-52.9567005
Christopher's Trucking,"P.O. Box 149,  Main Street, Forteau, NL  A0K 2P0",1,Newfoundland and Labrador,51.480806,-56.954241
Clarenville Medical Arts Clinic,"105 Manitoba Drive, Clarenville, NL  A5A 1K5",1,Newfoundland and Labrador,48.171732,-53.989211
College of the North Atlantic,"P.O. Box 5400, Stephenville, NL  A2N 2Z6",1,Newfoundland and Labrador,48.546967,-58.583473
Connors Farm,"29 Patrick's Path, Torbay, NL  A1E 1J7",1,Newfoundland and Labrador,47.550548,-52.726151
Creative Discovery Children's Centre,"31 Doyles Road, Goulds, NL  A1S 1A2",1,Newfoundland and Labrador,47.460697,-52.7717427
DOF Subsea Canada Corp.,"26 Allston Street, Unit 2, Mount Pearl, NL  A1N 0A1",29,Newfoundland and Labrador,47.519571,-52.811343
Dovre Canada Limited,"215 Water Street, Suite 606, St. John's, NL  A1C 6C9",1,Newfoundland and Labrador,47.5630158,-52.7084738
Exceed (XCD) Canada Limited,"49 LeMarchant Road, Unit 304, St. John's, NL  A1C 2G9",10,Newfoundland and Labrador,47.562117,-52.71647
Exxonmobil Canada,"100 New Gower Street, Suite 1000 Cabot Place, St. John's, NL  A1C 6K3",1,Newfoundland and Labrador,47.5606323,-52.712527
First Baptist Church,"1 Ambassador Place, Mount Pearl, NL  A1N 5C3",1,Newfoundland and Labrador,47.530879,-52.792693
Glenview Farm,"156 Old Bay Bulls Road, St. John's, NL  A1G 1E1",2,Newfoundland and Labrador,47.511892,-52.756238
Harvey's Restaurant (Store #2637),"45 Ridgewood Drive, Paradise, NL  A1L 1K9",2,Newfoundland and Labrador,47.53759,-52.90348
Hibernia Management & Development Company Ltd.,"100 NEW GOWER STREET, ST. JOHN'S, NL  A1C 6K3",1,Newfoundland and Labrador,47.5606323,-52.712527
House-Man Limited,"P.O. Box 1299, 15 First Avenue, Wabush, NL  A0R 1B0",2,Newfoundland and Labrador,52.904764,-66.870789
India Gate Restaurant,"286 Duckworth Street, St. John's, NL   A1C 1H3",1,Newfoundland and Labrador,47.5660512,-52.7062566
Inuksuk Fisheries Ltd.,"85 Thorburn Road, Suite 202, St. John's, NL  A1B 3M2",1,Newfoundland and Labrador,47.5629367,-52.7568198
Jill Dreaddy Danceco,"641 Conception Bay Highway, Conception Bay South, NL  A1X 7L5",2,Newfoundland and Labrador,47.505529,-53.005771
Jungle Jims Restaurant,"97 Dogberry Hill Road EXT, Portugal Cove, NL  A1M 1E3",3,Newfoundland and Labrador,47.586467,-52.885492
Jungle Jim's Restaurant,"38 Pearson Street, Suite 276, St. John's, NL  A1A 3R1",1,Newfoundland and Labrador,47.5954845,-52.7098327
Kiewit-Kvaerner Contractors,"240 Waterford Bridge Road, St. John's, NL  A1E 1E2",30,Newfoundland and Labrador,47.5317522,-52.7398845
Labrador-Grenfell Regional Health Authority,"P.O. Box 7000, Stn C, Happy Valley - Goose Bay, NL  A0P 1C0",2,Newfoundland and Labrador,53.308255,-60.378852
Larch Grove Farm Ltd.,"405 Veterans Drive, Cormack, NL  A8A 2R7",1,Newfoundland and Labrador,49.282213,-57.420854
Maersk Supply Service,"100 New Gower Street, Suite 803, St. John's, NL  A1C 6K3",9,Newfoundland and Labrador,47.5606323,-52.712527
Magic Wok Eatery,"402 Water Street, P.O. Box 944, St. John's, NL  A1C 1C9",1,Newfoundland and Labrador,47.55863,-52.711865
Mes Amis Daycare and Preschool,"160 Carrick Drive, St. John's, NL  A1A 4P8",2,Newfoundland and Labrador,47.6105871,-52.7063094
NECL -Apply Leirvik Partnership,"16 Mackay Place, St. John's, NL  A1G 1A1",1,Newfoundland and Labrador,47.5280277,-52.7432358
Newfoundland & Labrador Hydro,"P.O. Box 12400, St. John's, NL  A1B 4K7",1,Newfoundland and Labrador,47.519691,-52.837161
Ocean Choice International (St. John's),"P.O. Box 8190, St. John's, NL  A1B 3N4",1,Newfoundland and Labrador,47.540271,-52.783174
Oujukoaq Fisheries Ltd.,"1217 Kenmount Road, Paradise, NL  A1L 0V8",1,Newfoundland and Labrador,47.5317771,-52.8752878
Republic Season 6 Inc.,"P.O. Box 6207, Stn C, St. John's, NL  A1C 6J9",1,Newfoundland and Labrador,47.568789,-52.717831
S & J Investments Inc. / Mary Brown's Restaurant,"P.O. Box 256, Holyrood, NL  A0A 2R0",1,Newfoundland and Labrador,47.276512,-53.301822
Seadrill Canada Ltd.,"139 Water Street, Suite 600, St. John's, NL  A1C 1B2",115,Newfoundland and Labrador,47.5665273,-52.7046317
Smitty's Restaurant,"26 Gibson Drive, Mount Pearl, NL  A1N 5K8",1,Newfoundland and Labrador,47.519571,-52.811342
Spectrol Energy Services Inc.,"20 Maverick Place, Paradise, NL  A1L 0J1",2,Newfoundland and Labrador,47.544021,-52.869514
Subsea 7 Canada Inc.,"Box 7070, Stn C, St. John's, NL  A1E 3Y3",50,Newfoundland and Labrador,47.551277,-52.727693
The Sandbar Lounge,"P.O. Box 1079, Stn B, Goose Bay, NL  A0P 1E0",2,Newfoundland and Labrador,53.312758,-60.38015
Transocean Canada Drilling Services,"Kenmount Business Centre, Suite 302, St. John's, NL  A1B 3V7",1,Newfoundland and Labrador,47.5588393,-52.7537154
Western Regional Integrated Health Authority,"P.O. Box 2005, 1 Brookfield Avenue, Corner Brook, NL  A2H 6J7",1,Newfoundland and Labrador,48.965333,-58.030775
Wild Lily Dance Centre Inc.,"16 Parliament Street, St. John's, NL  A1A 2Y8",1,Newfoundland and Labrador,47.594111,-52.7199333
Andrews of Charlottetown Inc.,"73 Malpeque Road, Charlottetown, PE  C1E 1S3",4,Prince Edward Island,46.270042,-63.150829
Atlantic Grown Organics Corp,"713 Route 104, RR 5, Kensington, PE  C0B 1M0",5,Prince Edward Island,46.43789,-63.63458
Brookfield Gardens Inc,"1067 Millboro Road, RR 4, Brookfield, PE  C0A 1Y0",14,Prince Edward Island,46.203797,-63.266232
Bulk Carriers (P.E.I.) Limited,"P.O. Box 153, Cornwall, PE  C0A 1H0",5,Prince Edward Island,46.1749323,-63.2607926
C.F. Farms Ltd.,"P.O. Box 68, Montague, PE  C0A 1R0",1,Prince Edward Island,46.1637,-62.64674
Carruthers Farms Ltd,"2444 Hamilton Road, Kensington, PE  C0B 1M0",3,Prince Edward Island,46.43789,-63.63458
Confederation Cove Mussel Company Ltd.,"10 Borden Avenue, Borden-Carleton, PE  C0B 1K0",3,Prince Edward Island,46.837426,-64.113384
