Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name
Newfoundland and Labrador,Arup Canada Inc.,"St. John's, NL A1B 4M7",1,Arup Canada Inc.,0211,Engineering managers
Newfoundland and Labrador,Avalla Construction Inc.,"St. John's, NL A1E 6A3",2,High Wage,7281,Bricklayers
Newfoundland and Labrador,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",1,High Wage,3111,Specialist physicians
Newfoundland and Labrador,Key Assets NL,"St John's, NL A1C 6E7",1,High Wage,4212,Social and community service workers
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,"St. John's, NL A1E 1E2",1,High Wage,2131,Civil engineers
Newfoundland and Labrador,Labrador-Grenfell Health,"Happy Valley - Goose Bay, NL A0P 1C0",3,High Wage,3111,Specialist physicians
Newfoundland and Labrador,Schlumberger Canada Limited,"Mount Pearl, NL A1N 5B1",2,High Wage,8222,"Contractors and supervisors, oil and gas drilling and services"
Newfoundland and Labrador,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4",2,High Wage,8232,"Oil and gas well drillers, servicers, testers and related workers"
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,0711,Construction managers
Newfoundland and Labrador,Technip Canada Limited,"St. John's, NL A1B 0L2",1,High Wage,0016,Senior managers 
Newfoundland and Labrador,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",2,High Wage,0811,Managers in natural resources production and fishing
Newfoundland and Labrador,Virtual Marine Technology Inc.,"St.John's, NL A1B 3N4",1,High Wage,1122,Professional occupations in business management consulting
Newfoundland and Labrador,10113 Newfoundland Limited,"Clarenville, NL A5A 1K6",1,10113 Newfoundland Limited,6311,Food service supervisors
Newfoundland and Labrador,10565 NFLD. Inc.,"Happy Valley-Goose Bay, NL A0P 1C0",1,Low Wage,6311,Food service supervisors
Newfoundland and Labrador,71036 Newfoundland and Labrador Limited,"Happy Valley Goose Bay, NL A0P 1E0",1,Low Wage,7322,Motor vehicle body repairers
Newfoundland and Labrador,BJH Enterprises Inc.,"St. John's, NL A1B 3M7",1,Low Wage,6322,Cooks
Newfoundland and Labrador,ELJ Holdings LTD,"Mount Pearl, NL A1N 3C6",1,Low Wage,4214,Early childhood educators and assistants
Newfoundland and Labrador,Happy Times Preschool Ltd.,"St. John's, NL A1B 3B3",2,Low Wage,4214,Early childhood educators and assistants
Newfoundland and Labrador,HSF Ocean Products Ltd.,"St. John's, NL A1B 3M9",15,Low Wage,9463,Fish and seafood plant workers
Newfoundland and Labrador,Mila Foods Inc.,"St John's, NL A1E 1T2",1,Low Wage,6311,Food service supervisors
Newfoundland and Labrador,Nails Time Inc.,"St. John's, NL A1E 5T2",3,Low Wage,6562,"Estheticians, electrologists and related occupations"
Newfoundland and Labrador,Newont Limited,"St. John's, NL A1E 2C5",1,Low Wage,6311,Food service supervisors
Newfoundland and Labrador,Paradise Daycare 2009 Inc.,"Paradise, NL A1L 2Y1",1,Low Wage,4214,Early childhood educators and assistants
Newfoundland and Labrador,Pho Vietnam,"Corner Brook, NL A2H 4W6",1,Low Wage,6322,Cooks
Newfoundland and Labrador,Quinlan Brothers Ltd,"St. John's, NL A1C 6C9",20,Low Wage,9463,Fish and seafood plant workers
Newfoundland and Labrador,Terry's Tents & Shoe Repair Limited,"Happy Valley-Goose Bay, NL A0P 1C0",1,Low Wage,9446,Industrial sewing machine operators
Newfoundland and Labrador,Tiffany Village Retirement Residence Partnership,"St. John's, NL A1A 0G1",1,Low Wage,3413,"Nurse aides, orderlies and patient service associates"
Newfoundland and Labrador,Uncle Li Restaurant Inc,"Clarenville, NL A5A 0C3",1,Low Wage,6322,Cooks
Newfoundland and Labrador,J & C Sod Farm Ltd,"St.John's, NL A0A 1C0",3,J & C Sod Farm Ltd,8432,Nursery and greenhouse workers
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",10,Primary Agriculture,8431,General farm workers
Newfoundland and Labrador,Ocean View Farm,"Bay Bulls, NL A0A 1C0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Rideout's Dairy Inc.,"Cormack, NL A8A 2R6",1,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,10400 Newfoundland Limited,"St. John's, NL A1A 1V8",1,10400 Newfoundland Limited,6321,Chefs
Newfoundland and Labrador,10565 NFLD. Inc.,"Happy Valley-Goose Bay, NL A0P 1C0",1,Permanent Resident Only,6311,Food service supervisors
Newfoundland and Labrador,Ecole Prescolaire Mes Amis Daycare and Preschool Inc.,"St. John's, NL A0A 1J0",1,Permanent Resident Only,4214,Early childhood educators and assistants
