"Employeurs ayant obtenu une étude d’impact sur le marché du travail  (EIMT) positive en 2020 (avril-juin), par volet, classification nationale des professions (CNP) 2011 et lieu de affaires",,,,,,
Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés,
Terre-Neuve-et-Labrador,     Haut salaire,Central Regional Health Authority,"GRAND FALLS - WINDSOR, A2A2E1",3111-Médecins spécialistes,4,
Terre-Neuve-et-Labrador,     Haut salaire,Central Regional Health Authority,"GRAND FALLS - WINDSOR, A2A2E1",3112-Omnipraticiens et médecins en médecine familiale,1,
Terre-Neuve-et-Labrador,     Haut salaire,Central Regional Health Authority,"GRAND FALLS - WINDSOR, A2A2E1",3141-Audiologistes et orthophonistes,1,
Terre-Neuve-et-Labrador,     Haut salaire,Eastern Regional Health Authority,"Mount Pearl, A1N3J5",3111-Médecins spécialistes,3,
Terre-Neuve-et-Labrador,     Haut salaire,Kvaerner Canada Limited,"St. John's, A1C6C9",0731-Directeurs des transports,1,
Terre-Neuve-et-Labrador,     Haut salaire,Kvaerner Canada Limited,"St. John's, A1C6C9",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,5,
Terre-Neuve-et-Labrador,     Haut salaire,Maersk Supply Service Canada Ltd.,"St. John's, A1E0E4",2273-Officiers de pont du transport par voies navigables,2,
Terre-Neuve-et-Labrador,     Haut salaire,Western Regional Health Authority,"Corner Brook, A2H6J7",3111-Médecins spécialistes,2,
Terre-Neuve-et-Labrador,     Haut salaire,Western Regional Health Authority,"Corner Brook, A2H6J7",3112-Omnipraticiens et médecins en médecine familiale,1,
Terre-Neuve-et-Labrador,   Bas salaire,3T's Limited,"Woody Point, A0K1P0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,10,
Terre-Neuve-et-Labrador,   Bas salaire,BENNETT STREET DAYCARE LTD,"Paradise, A1L2Y1",4214-Éducateurs et aides-éducateurs de la petite enfance,1,
Terre-Neuve-et-Labrador,   Bas salaire,Terra Vista Ltd.,"Glovertown, A0G2L0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,10,
Terre-Neuve-et-Labrador,  Agriculture primaire,Larch Grove Farm Ltd.,"Cormack, A8A2R7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4,
Terre-Neuve-et-Labrador,  Agriculture primaire,Miao's Holding Inc.,"St. John's, A1H0M1",8431-Ouvriers agricoles,4,
Terre-Neuve-et-Labrador,  Agriculture primaire,N&N Farm Limited,"Cormack, A8A2R6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2,
Terre-Neuve-et-Labrador,  Agriculture primaire,Sunrise Dairy Ltd,"Musgravetwon, A0C1Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2,
Île-du-Prince-Édouard,     Haut salaire,9321624 CANADA INC.,"CHARLOTTETOWN, C1A6X8",3231-Opticiens d'ordonnances,1,
Île-du-Prince-Édouard,     Haut salaire,Bulk Carriers (P.E.I.) Limited,"Clyde River, C0A1H3",7511-Conducteurs de camions de transport,10,
Île-du-Prince-Édouard,     Haut salaire,Seafood Express (PEI) Limited,"Charlottetown, C1E3M9",7511-Conducteurs de camions de transport,8,
Île-du-Prince-Édouard,   Bas salaire,Atlantic Beef Products Inc.,"Albany, C0B1A0","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",5,
Île-du-Prince-Édouard,   Bas salaire,Blue Mussel Cafe Inc,"North Rustico, C0A1X0",0631-Directeurs de la restauration et des services alimentaires,1,
Île-du-Prince-Édouard,   Bas salaire,By the Water Shellfish (2012) Inc,"Borden Carleton, C0B1X0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,14,
Île-du-Prince-Édouard,  Agriculture primaire,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, C0A2E0",8431-Ouvriers agricoles,7,
Île-du-Prince-Édouard,  Agriculture primaire,Atlantic Grown Organics Inc,"Kensington, C0B1M0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2,
Île-du-Prince-Édouard,  Agriculture primaire,Birkentree Holsteins inc,"Hunter River, C0A1N0",8431-Ouvriers agricoles,3,
Île-du-Prince-Édouard,  Agriculture primaire,Brookfield Gardens Inc,"Brookfield, C0A1Y0",8432-Ouvriers de pépinières et de serres,9,
Île-du-Prince-Édouard,  Agriculture primaire,Hy-Croft Farms Inc.,"Summerside, C1N4V4",8431-Ouvriers agricoles,12,
Île-du-Prince-Édouard,  Agriculture primaire,Kouwenberg Farm Inc.,"Millview, C0A2E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2,
Île-du-Prince-Édouard,  Agriculture primaire,Vanco Farms Ltd.,"Mount Albion, C1B0R4",8431-Ouvriers agricoles,41,
Île-du-Prince-Édouard,  Agriculture primaire,W.P.  Griffin Inc.,"Elmsdale, C0B1K0",8431-Ouvriers agricoles,4,
Nouvelle-Écosse,     Haut salaire,11266047 Canada Inc.,"Halifax, B3M2J8",7511-Conducteurs de camions de transport,5,
Nouvelle-Écosse,     Haut salaire,Clearwater Ocean Prawns Venture,"Lunenberg, B0J2C0",7242-Électriciens industriels,1,
Nouvelle-Écosse,     Haut salaire,CONNORS TRANSFER LIMITED,"Stellarton, B0K1S0",7511-Conducteurs de camions de transport,10,
Nouvelle-Écosse,     Haut salaire,Dalhousie University,"Halifax, B3H4H2",4011-Professeurs et chargés de cours au niveau universitaire,1,
Nouvelle-Écosse,     Haut salaire,Governors St Francis Xavier University,"Antigonish, B2G2W5",4011-Professeurs et chargés de cours au niveau universitaire,1,
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",2,
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",0113-Directeurs des achats,1,
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",0211-Directeurs des services de génie,1,
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",0911-Directeurs de la fabrication,2,
Nouvelle-Écosse,     Haut salaire,Sapori Italian Street Food Limited,"Halifax, B3J3R7",0631-Directeurs de la restauration et des services alimentaires,1,
Nouvelle-Écosse,   Bas salaire,3099794 Nova Scotia Ltd.,"Enfield, B2T1C8",6322-Cuisiniers,2,
Nouvelle-Écosse,   Bas salaire,BMC Seafoods Limited,"Meteghan, B0W2J0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,3,
Nouvelle-Écosse,   Bas salaire,DJAJ Property Ltd.,"Halifax, B3L1L2",6322-Cuisiniers,1,
Nouvelle-Écosse,   Bas salaire,Double Dragon Restaurant Inc.,"New Minas, B4N3E2",6322-Cuisiniers,2,
Nouvelle-Écosse,   Bas salaire,Granville Gates and Sons Ltd,"Blandford, B0J1C0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2,
Nouvelle-Écosse,   Bas salaire,It Takes a Village Inc.,"Halifax, B3S1P9",4214-Éducateurs et aides-éducateurs de la petite enfance,1,
Nouvelle-Écosse,   Bas salaire,Ka'Le Bay Seafoods Limited,"Glace Bay, B1A5V4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10,
Nouvelle-Écosse,   Bas salaire,L.J. Robicheau & Son Fisheries Limited,"Little River, B0V1C0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,24,
Nouvelle-Écosse,   Bas salaire,Mr González Mexican Cuisine,"Yarmouth, B5A1H8",6311-Superviseurs des services alimentaires,1,
Nouvelle-Écosse,   Bas salaire,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, B0W2B0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,42,
