EmployerID,Position,Latitude,Longitude
6,1,47.5183451,-52.9567005
75,28,45.195976,-64.680474
76,6,45.090922,-64.823309
124,4,45.090922,-64.823309
154,4,45.074551,-64.720682
220,2,46.966656,-70.531465
243,5,46.012426,-73.355485
251,1,45.498856,-73.570201
277,3,46.813533,-71.224271
303,1,45.514036,-73.57248
311,1,45.514464,-73.556599
342,10,45.501818,-73.624537
343,4,45.5052277,-73.5557318
391,4,45.18365,-72.83659
393,10,45.050584,-72.37232
402,1,46.767534,-71.309732
416,4,45.743566,-70.698132
433,3,46.099764,-72.332324
446,1,45.517204,-74.279219
451,2,48.633071,-71.702658
453,1,46.228855,-73.406588
459,3,46.487467,-72.742849
466,8,46.167895,-72.328926
480,2,46.012426,-73.355485
485,1,45.0870018005371,-74.4231109619141
492,1,46.46617,-71.527885
497,4,45.961974,-72.806471
501,8,45.267409,-74.143086
502,1,46.154859,-73.427218
506,3,45.967496,-73.566293
514,4,45.5767022,-73.2460654
561,1,45.507564,-73.56949
566,17,45.507836,-73.565412
568,10,45.504013,-73.622601
581,2,45.89633,-74.138584
596,5,46.112205,-71.281155
602,1,46.780227,-71.300746
608,1,45.565314,-74.078302
612,4,45.346674,-73.436841
622,23,45.304769,-73.697619
638,8,45.577702,-73.710989
672,1,45.791389,-74.011258
677,17,45.5767022,-73.2460654
681,14,45.346674,-73.436841
686,3,45.23844,-73.5129
687,7,45.496258,-74.140595
690,2,45.304769,-73.697619
704,20,45.307256,-71.829763
706,1,45.816035,-73.907662
712,8,45.55103,-73.825468
742,2,45.502079,-73.555664
743,6,46.534055,-71.557415
754,1,45.978648,-73.393966
800,9,45.508898,-73.581448
808,2,46.761369,-71.210897
824,3,45.414543,-73.02362
889,7,46.4105453491211,-70.3466491699219
925,2,45.875388,-72.540577
978,1,45.383716,-71.925605
988,77,45.071888,-72.877933
989,70,46.168705,-71.871248
993,4,45.435286,-72.883572
994,8,45.435286,-72.883572
995,29,45.435286,-72.883572
1024,1,42.902746,-80.546252
1035,21,42.843216,-80.615434
1086,23,44.07981,-79.539912
1105,1,44.545368,-80.46633
1152,18,42.71978,-81.273994
1171,10,44.04066,-81.120379
1221,4,44.246315,-79.745424
1235,41,42.085786,-82.619578
1294,2,43.4792,-80.54941
1311,34,42.0397218,-82.6670283
1337,27,43.700351,-79.614316
1338,21,44.042210,-79.609068
1352,6,42.831139,-80.926222
1410,8,44.656698,-75.73559
1427,135,42.085786,-82.619578
1431,23,42.083449,-82.686365
1470,11,42.874092,-80.302307
1490,17,42.087276,-82.61951
1500,12,42.083449,-82.686365
1511,1,43.67103,-79.382744
1620,15,42.101244,-82.424689
1630,9,43.230361,-80.134647
1649,445,42.790129,-81.341712
1681,1,42.568461,-81.970986
1687,25,42.979203,-81.013636
1697,2,43.666249,-79.685462
1701,6,42.087276,-82.61951
1702,28,43.012571,-80.251192
1746,38,42.087276,-82.61951
1752,1,43.658525,-79.38055
1760,38,44.028609,-77.842122
1762,15,43.15509,-79.284047
1815,4,43.744171,-81.252702
1836,15,43.475163,-81.202454
1852,19,43.191259,-79.392035
1854,4,44.176778,-79.884937
1885,1,43.657513,-79.389305
1897,19,42.297117,-81.923025
1931,6,44.1413871,-80.028765
1935,5,43.678367,-79.584915
1940,1,43.527949,-80.223221
1942,1,43.470426,-80.538399
1993,5,43.25351,-79.126832
2001,30,43.9309932,-78.8023298
2006,12,42.072248,-82.598226
2007,6,44.530125,-79.074992
2010,1,42.092318,-82.95292
2015,3,43.771903,-79.4932
2028,4,51.229353,-101.35515
2057,24,50.102861,-96.851058
2063,1,49.8098449,-97.1333039
2369,1,50.984878,-112.563177
2378,4,50.066263,-110.788063
2388,4,52.985967,-113.198425
2460,2,54.128864,-114.700856
